name,ring,quadrant,isNew,description
AWS Lambda,Trial,Tools,FALSE,
AWS SQS,Trial,Tools,FALSE,
AWS SNS,Trial,Tools,FALSE,
AWS MQ,Hold,Tools,FALSE,
Mulesoft ESB,Adopt,Platforms,FALSE,
Mulesoft API Gateway,Adopt,Platforms,FALSE,
AWS API Gateway,Trial,Tools,FALSE,
AWS WAF,Trial,Tools,FALSE,
AWS Shield Advanced (DDOS),Assess,Tools,FALSE,
AWS Shield Basic (DDOS),Trial,Tools,FALSE,
Radware,Assess,Platforms,FALSE,
AWS DDOS,Trial,Tools,FALSE,
React JS,Adopt,Languages-And-Framework,FALSE,
Next JS,Adopt,Languages-And-Framework,FALSE,
JavaScript,Hold,Languages-And-Framework,FALSE,
TypeScript,Adopt,Languages-And-Framework,FALSE,
Python,Adopt,Languages-And-Framework,FALSE,
SiteCore CMS,Hold,Tools,FALSE,
Bubble.io,Assess,Tools,FALSE,
Vercel,Assess,Tools,FALSE,
Figma,Adopt,Tools,FALSE,"A design system is a collection of reusable components, patterns, guides and codes for building websites and apps that its UI and UX designers, as well as its developers, can reuse for the company’s own site, or that the company can also choose to share externally with others.It offers consistent design for the enterprise"
Open API Specification,Adopt,Tools,FALSE,
RAML,Hold,Tools,FALSE,
AWS ECS,Adopt,Tools,FALSE,
AWS EC2,Hold,Tools,FALSE,
Github,Adopt,Platforms,FALSE,
Github Actions,Adopt,Platforms,FALSE,
Bitbucket,Hold,Platforms,FALSE,
AWS Code pipeline,Adopt,Platforms,FALSE,
OpenTelemetry,Trial,Languages-And-Framework,FALSE,
Splunk,Adopt,Tools,FALSE,
Github CoPilot,Assess,Tools,FALSE,
Terraform,Adopt,Tools,FALSE,
OpenID Connect,Adopt,Languages-And-Framework,FALSE,
OAuth2,Adopt,Languages-And-Framework,FALSE,
SAML 2,Hold,Languages-And-Framework,FALSE,
OKTA,Adopt,Platforms,FALSE,
Material UI,Adopt,Languages-And-Framework,FALSE,
AWS S3,Adopt,Platforms,FALSE,
Redis,Hold,Tools,FALSE,
AWS Certificate Manager,Trial,Tools,FALSE,
AWS Container Registry,Adopt,Tools,FALSE,
AWS DynamoDB,Adopt,Tools,FALSE,
AWS Cloudfront,Adopt,Tools,FALSE,
AWS Secret Manager,Assess,Tools,FALSE,
AWS Step Function,Trial,Tools,FALSE,
AWS S3 Glacier Storage,Adopt,Tools,FALSE,
JSON/REST,Adopt,Languages-And-Framework,FALSE,
OpenText,Adopt,Platforms,FALSE,
Quadient,Adopt,Platforms,FALSE,
AccelQ,Assess,Tools,FALSE,
Zuplo,Assess,Tools,FALSE,
Microsoft Dot Net,Hold,Languages-And-Framework,FALSE,
Lazarus forms,Assess,Tools,FALSE,Enterprise-grade ML solutions for document understanding and data activation
Checkmarx,Adopt,Tools,FALSE,
Snyk,Hold,Tools,FALSE,
Octopus,Adopt,Tools,FALSE,
Bamboo,Adopt,Tools,FALSE,
Common data model (CDM),Assess,Languages-And-Framework,FALSE,To create Common data model for Insurance domain so that our integration layer would talk with same semantics and transformed to appropriate backend systems
Google Analytics,Adopt,Tools,FALSE,
Async API Specification,Assess,Languages-And-Framework,FALSE,"Open-Source tools to easily build and maintain your event-driven architecture. All powered by the AsyncAPI specification, the industry standard for defining asynchronous APIs."
Cloud Events,Assess,Languages-And-Framework,FALSE,A specification for describing event data in a common way
SQL Server,Hold,Tools,FALSE,
Internal Developer Platform (IDP),Assess,Platforms,FALSE,An internal developer platform (IDP) consists of a standardized set of self-service tools and technologies that developers need to create and deploy code by abstracting the cloud infrastructure. 
VMC,Hold,Platforms,FALSE,
HotJAR,Assess,Tools,FALSE,
Postman,Adopt,Tools,FALSE,
Stoplight,Assess,Tools,FALSE,
